,PERSON_ID,PLAYER_AGE,SEASON_ID,GP,W,L,W_PCT,MIN,PLUS_MINUS,DD2,TD3,HEIGHT,WEIGHT,SEASON_EXP,POSITION,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
1997,1626174,21.0,2016-17,13,5,8,0.385,106.98166670000002,19,0,0,6-10,214,4,Forward,12,23,0,11,15,29,2,7,3,6,35
1998,1626174,23.0,2018-19,21,13,8,0.619,250.305,-53,2,0,6-10,214,4,Forward,61,117,9,41,56,83,8,17,7,10,172
1999,1626174,23.0,2018-19,21,13,8,0.619,250.305,-53,2,0,6-10,214,4,Forward,61,117,9,41,56,83,8,17,7,10,172
2000,1626174,23.0,2018-19,21,13,8,0.619,250.305,-53,2,0,6-10,214,4,Forward,61,117,9,41,56,83,8,17,7,10,172
2001,1626174,24.0,2019-20,62,20,42,0.32299999999999995,1324.643333,68,12,0,6-10,214,4,Forward,288,508,54,180,242,390,60,84,34,54,810
2002,1626153,24.0,2015-16,27,19,8,0.7040000000000001,229.275,13,0,0,6-5,185,5,Guard,36,80,5,26,35,37,31,16,8,3,103
2003,1626153,25.0,2016-17,27,19,8,0.7040000000000001,446.4466666999999,90,0,0,6-5,185,5,Guard,49,116,10,42,55,48,57,25,27,11,150
2004,1626153,26.0,2017-18,69,49,20,0.71,1432.723333,236,1,0,6-5,185,5,Guard,201,432,56,97,117,198,200,78,72,33,555
2005,1626153,27.0,2018-19,75,45,30,0.6,1698.4366670000002,3,4,3,6-5,185,5,Guard,242,558,50,119,150,266,248,77,88,30,653
2006,1626153,27.0,2018-19,75,45,30,0.6,1698.4366670000002,3,4,3,6-5,185,5,Guard,242,558,50,119,150,266,248,77,88,30,653
2007,1626153,27.0,2018-19,75,45,30,0.6,1698.4366670000002,3,4,3,6-5,185,5,Guard,242,558,50,119,150,266,248,77,88,30,653
2008,1626153,28.0,2019-20,73,42,31,0.575,1569.716667,37,1,0,6-5,185,5,Guard,190,411,47,77,100,280,244,73,85,22,504
2009,1627736,20.0,2016-17,22,12,10,0.545,164.895,58,0,0,6-4,187,4,Guard,33,73,9,8,10,17,11,8,7,0,83
